what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269221157850
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1269221159216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221162571
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221163182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221184680
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221185851
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221186488
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221188050
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221283272
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269221285015
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269221285326
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269221287142
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269221287390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221294808
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269221296761
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269221298486
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1269221299160
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269221309542
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1269221313185
started,bundle,org.eclipse.wst.css.core,1.1.300.v200904131653,"org.eclipse.wst.css.core",1269221313404
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1269221313722
started,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1269221314053
opened,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1269221314207
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1269221314306
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269221329632
